accession	annotator_id	csid	date	value	source
Pp1s110_81V6.1	cosmoss		2009-06-30 12:50:43	abci1	cosmoss|V1.2-5_mapping_Phypa_134304
Pp1s111_161V6.1	zimmer	287	2012-01-23 10:35:51	aldh21a
Pp1s112_116V6.1	cosmoss		2009-06-30 12:45:57	abcg14	cosmoss|V1.2-5_mapping_Phypa_215170
Pp1s114_106V6.1	cosmoss		2009-06-30 12:49:06	vpe-gamma	cosmoss|V1.2-5_mapping_Phypa_134776
Pp1s114_106V6.2	cosmoss		2009-06-30 12:49:06	vpe-gamma	cosmoss|V1.2-5_mapping_Phypa_134776
Pp1s114_124V6.1	oesterle	299	2012-02-24 11:34:51	apt
Pp1s114_151V6.1	cosmoss		2009-06-30 12:35:44	n3	cosmoss|V1.2-5_mapping_Phypa_166399
Pp1s115_10V6.1	cosmoss		2009-06-30 12:41:11	wrky17	cosmoss|V1.2-5_mapping_Phypa_19197
Pp1s115_120V6.1	cosmoss		2009-06-30 12:38:53	abca7	cosmoss|V1.2-5_mapping_Phypa_234064
Pp1s115_168V6.1	oesterle	307	2012-03-09 11:21:45	hsp70-2
Pp1s115_6V6.1	oesterle	370	2012-09-30 20:30:47	cdc48II
Pp1s116_14V6.1	cosmoss		2009-06-30 12:47:36	abcg31	cosmoss|V1.2-5_mapping_Phypa_135027
Pp1s117_154V6.1	cosmoss		2009-06-30 12:41:12	hta1504	cosmoss|V1.2-5_mapping_Phypa_135118
Pp1s117_2V6.1	cosmoss		2009-06-30 12:49:52	htb1501	cosmoss|V1.2-5_mapping_Phypa_58626
Pp1s117_6V6.1	cosmoss		2009-06-30 12:40:24	hfo1506	cosmoss|V1.2-5_mapping_Phypa_135154
Pp1s117_71V6.1	yaari	241	2010-09-15 15:14:43	CMT
Pp1s117_91V6.1	cosmoss		2009-06-30 12:39:38	rabf2a1	cosmoss|V1.2-5_mapping_Phypa_188295
Pp1s117_91V6.2	cosmoss		2009-06-30 12:39:38	rabf2a1	cosmoss|V1.2-5_mapping_Phypa_188295
Pp1s117_91V6.3	cosmoss		2009-06-30 12:39:38	rabf2a1	cosmoss|V1.2-5_mapping_Phypa_188295
Pp1s118_112V6.1	cosmoss		2009-06-30 12:45:07	tafv1501	cosmoss|V1.2-5_mapping_Phypa_215697
Pp1s118_112V6.2	cosmoss		2009-06-30 12:45:07	tafv1501	cosmoss|V1.2-5_mapping_Phypa_215697
Pp1s118_161V6.1	cosmoss		2009-06-30 12:38:09	mads2	cosmoss|V1.2-5_mapping_Phypa_166549
Pp1s118_209V6.2	oesterle	346	2012-09-29 22:48:52	ppm1
Pp1s118_70V6.1	cosmoss		2009-06-30 12:42:00	hak2	cosmoss|V1.2-5_mapping_Phypa_215671
Pp1s118_9V6.1	symeonidi	355,242	2010-09-15 15:12:16	sbp1
Pp1s119_101V6.1	cosmoss		2009-06-30 12:40:24	chb1501	cosmoss|V1.2-5_mapping_Phypa_166589
Pp1s119_24V6.1	gustin		2010-05-08 05:39:59	mtp11.1	cosmoss|V1.2-5_mapping_Phypa_58669
Pp1s119_25V6.1	gustin		2010-05-08 05:39:59	mtp11.1	cosmoss|V1.2-5_mapping_Phypa_58669
Pp1s119_25V6.2	gustin		2010-05-08 05:39:59	mtp11.1	cosmoss|V1.2-5_mapping_Phypa_58669
Pp1s11_231V6.1	cosmoss		2009-06-30 12:45:35	prmt1505	cosmoss|V1.2-5_mapping_Phypa_114834
Pp1s11_241V6.1	cosmoss		2009-06-30 12:43:12	wrky33	cosmoss|V1.2-5_mapping_Phypa_114886
Pp1s11_26V6.1	cosmoss		2009-06-30 12:40:03	memb1a2	cosmoss|V1.2-5_mapping_Phypa_159242
Pp1s11_299V6.3	gustin		2010-05-21 04:05:58	mtp11.1	cosmoss|V1.2-5_mapping_Phypa_425143
Pp1s11_299V6.4	gustin		2010-05-10 15:02:01	mtp11.2	cosmoss|V1.2-5_mapping_Phypa_425146
Pp1s11_337V6.1	cosmoss		2009-06-30 12:44:45	ein3b	cosmoss|V1.2-5_mapping_Phypa_114826
Pp1s121_149V6.1	cosmoss		2009-06-30 12:37:24	abcc1	cosmoss|V1.2-5_mapping_Phypa_135574
Pp1s121_69V6.1	cosmoss		2009-06-30 12:43:33	erl1c	cosmoss|V1.2-5_mapping_Phypa_135585
Pp1s122_159V6.1	oesterle	363	2012-09-29 23:41:09	for1B
Pp1s122_164V6.1	oesterle	363	2012-09-29 23:40:25	for1A
Pp1s122_170V6.1	cosmoss		2009-06-30 12:38:54	abcc4	cosmoss|V1.2-5_mapping_Phypa_216010
